RA,DEC,u,g,r,i ,z,color
145.267,34.70483,21.33,18.81,17.37,16.54,16.05,orange
145.30126,34.70483,22.51,20.62,19.18,18.28,17.74,orange
145.34655,34.78949,19.44,17.93,17.35,17.14,17.07,white
145.29937,34.89419,23.87,21.64,20.84,20.45,20.26,white
145.21264,34.86811,15.69,14.46,14.56,14.64,14.72,blue
145.13308,34.81128,23.56,20.66,19.2,17.88,17.17,red
145.25105,34.65919,21.33,18.81,17.37,16.54,16.05,orange
145.23228,34.65157,25.72,22.59,21.15,19.61,18.7,red
145.23945,34.63158,19.96,19,18.65,18.53,18.45,white
145.20632,34.62559,24.5,21.17,19.78,19.09,18.71,orange
145.10939,34.7004,20.48,20.34,20.05,20.14,20.02,white
145.12288,34.50528,22.01,20.13,18.78,18.18,17.81,yellow
145.23635,34.47947,16.46,15.21,14.79,14.63,14.61,white
145.24999,34.49933,16.84,15.49,15.03,14.86,14.83,white
145.41449,34.5739,24.88,21.3,19.9,18.37,17.53,red
145.38163,34.5751,15.8,14.45,13.98,13.82,13.79,white
145.41941,34.71593,20.29,19.44,19.04,18.92,18.88,white
145.2652,34.72555,24.27,23.12,24.72,23.37,22.58,blue
145.23456,34.75052,23.77,21.02,19.51,18.59,18.09,orange
